ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,y
2000-12-01,914964.4051045683,800591.1747786631,1008326.330517592,880656.407127329,950892.3114479281,-0.010082220982124671,-0.019654206177391227,-0.0006184415880597728,-0.010082220982124671,-0.019654206177391227,-0.0006184415880597728,0.0,0.0,0.0,905739.5317815259,942784.3384680001
2001-01-01,914649.6370273707,790504.4474632674,999272.1767258579,882865.3064678045,948311.2937702399,-0.019161351365975177,-0.031741297438414556,-0.007421236861920364,-0.019161351365975177,-0.031741297438414556,-0.007421236861920364,0.0,0.0,0.0,897123.7139555276,937529.1140200001
2001-02-01,914334.8689501729,819319.7474082593,1033289.8280337295,883945.034860712,945899.9204614294,0.010861275551123716,-0.004340955514521857,0.026315358081198944,0.010861275551123716,-0.004340955514521857,0.026315358081198944,0.0,0.0,0.0,924265.7119078413,935114.61699
2001-03-01,914050.5622998009,825715.5489957823,1030483.4540872541,885231.4344130023,943853.7865539283,0.012487228445015625,0.005438477911151299,0.01965664735199553,0.012487228445015625,0.005438477911151299,0.01965664735199553,0.0,0.0,0.0,925464.5204815336,931447.671557
2001-04-01,913735.7942226031,820794.6882384433,1023821.0441061697,886390.5309436854,941766.2486757303,0.011621118203095504,0.0030666793349935937,0.020240794888187922,0.011621118203095504,0.0030666793349935937,0.020240794888187922,0.0,0.0,0.0,924354.4258936632,927942.058566
2001-05-01,913431.1799543473,822185.9258709436,1028386.890678468,888121.4840458636,940639.5679394193,0.007480226451264051,-0.0008632836149766153,0.01520530886037373,0.007480226451264051,-0.0008632836149766153,0.01520530886037373,0.0,0.0,0.0,920263.8520280513,926010.3888770001
2001-06-01,913116.4118771497,816275.8092212772,1024069.277713338,889636.0932360836,939226.1079064384,0.005184130935054361,-0.003242885065822143,0.013264072651036284,0.005184130935054361,-0.003242885065822143,0.013264072651036284,0.0,0.0,0.0,917850.1269152679,915460.962485
2001-07-01,912811.7976088938,810836.9002543283,1016512.3331404566,891060.3174820746,937485.8690111479,-0.0004228916273410861,-0.008565886462203551,0.007221104560998566,-0.0004228916273410861,-0.008565886462203551,0.007221104560998566,0.0,0.0,0.0,912425.7771423468,918844.11209
2001-08-01,912497.0295316962,813504.11246262,1014841.241390178,891143.8444033791,936257.5643511899,-0.0014616974251262197,-0.00976755524269989,0.006647140491167006,-0.0014616974251262197,-0.00976755524269989,0.006647140491167006,0.0,0.0,0.0,911163.2349731944,920975.786635
2001-09-01,912467.4397910772,805698.5420301228,1016841.2514764962,892468.9731740823,934527.3886636996,-0.0020364376871521823,-0.010997251153928649,0.0069827459685564515,-0.0020364376871521823,-0.010997251153928649,0.0069827459685564515,0.0,0.0,0.0,910609.2567083873,923936.3919360001
2001-10-01,912438.80455822,804037.7388453074,1006710.4313833269,892617.3072372158,933508.9053203869,-0.006362264358314467,-0.013923471071515627,0.0012294372666531604,-0.006362264358314467,-0.013923471071515627,0.0012294372666531604,0.0,0.0,0.0,906633.6276728362,920121.3253200001
2001-11-01,912409.2148176009,799324.8618186171,1006706.5341657,892457.0838137318,932925.5400559292,-0.005661418012469105,-0.013891455449697346,0.002064733944257152,-0.005661418012469105,-0.013891455449697346,0.002064733944257152,0.0,0.0,0.0,907243.6848540897,922147.0346
2001-12-01,912380.579584744,808385.4664645924,1005663.7902691355,893004.8085735185,932693.0592843979,-0.0053045483755144,-0.012889509674168275,0.0019506343757681572,-0.0053045483755144,-0.012889509674168275,0.0019506343757681572,0.0,0.0,0.0,907540.8126634568,926105.1462719999
2002-01-01,912350.9898441249,802526.8271775602,990894.1676566129,893520.5661536361,931721.5394127675,-0.01136969513911356,-0.02047018958073312,-0.003009989735535281,-0.01136969513911356,-0.02047018958073312,-0.003009989735535281,0.0,0.0,0.0,901977.8372297287,908457.4889270001
2002-02-01,912321.4001035057,814805.0442110541,1017658.0161996201,893310.4539669118,930935.9618498598,0.006036726341461272,-0.0049141872532038056,0.016789074708226655,0.006036726341461272,-0.0049141872532038056,0.016789074708226655,0.0,0.0,0.0,917828.8347313894,906257.104343
2002-03-01,912294.6738861724,815851.5500879791,1023368.260864093,893423.438602911,931212.255265954,0.008357367061941626,-0.0014218428639435011,0.017494554550811735,0.008357367061941626,-0.0014218428639435011,0.017494554550811735,0.0,0.0,0.0,919919.0553444935,904699.24659
2002-04-01,913130.7571057115,819792.4046884982,1019523.3712235146,894019.4460736715,930947.4307425736,0.009707566617478451,0.001726195551053762,0.01914534156741664,0.009707566617478451,0.001726195551053762,0.01914534156741664,0.0,0.0,0.0,921995.0347607837,907761.9430280001
2002-05-01,913939.8698988139,819234.3623541783,1024312.1506515406,894803.0014356948,931720.2294034904,0.011222236607371814,0.0029593828036984142,0.019165360805903756,0.011222236607371814,0.0029593828036984142,0.019165360805903756,0.0,0.0,0.0,924196.319363729,904387.840946
2002-06-01,914775.953118353,816495.628732532,1021832.7301708263,896017.5719620963,932950.6047877234,0.007863097868756498,-0.0004968475691393196,0.015790640935755593,0.007863097868756498,-0.0004968475691393196,0.015790640935755593,0.0,0.0,0.0,921968.9259657077,903447.840121
2002-07-01,915585.0659114555,810447.0390561229,1013691.549475584,896638.2675206338,934113.6154615246,0.00022120325791853015,-0.008591485037499924,0.008943265353691388,0.00022120325791853015,-0.008591485037499924,0.008943265353691388,0.0,0.0,0.0,915787.5963109367,902792.1987219999
2002-08-01,916421.1491309947,816195.4088807001,1013009.6632349663,897546.9797629567,935101.2871313199,0.0005885599482232054,-0.007403874232252432,0.008168765605459434,0.0005885599482232054,-0.007403874232252432,0.008168765605459434,0.0,0.0,0.0,916960.5179150779,909530.475216
2002-09-01,917257.2323505337,808345.6179760362,1008790.4386266607,898211.5262358737,936589.2242066893,-0.006356513694198951,-0.014760618106177605,0.0022235250896859306,-0.006356513694198951,-0.014760618106177605,0.0022235250896859306,0.0,0.0,0.0,911426.6741919945,910034.7685979999
2002-10-01,918066.3451436362,808096.6434094047,1005388.9154655598,899251.2112628445,937116.0082302879,-0.010809640192429406,-0.018872838656604052,-0.002330958430609275,-0.010809640192429406,-0.018872838656604052,-0.002330958430609275,0.0,0.0,0.0,908142.3782798549,922297.6896459999
2002-11-01,918902.4283631751,807780.452495843,1010049.8828314891,899396.4363022955,938387.7426886753,-0.005809191941663363,-0.014042457410955079,0.0024869544883833056,-0.005809191941663363,-0.014042457410955079,0.0024869544883833056,0.0,0.0,0.0,913564.3477811528,927105.3359139999
2002-12-01,920933.52953229,819956.8454474285,1014410.3682244945,901840.4886685119,940206.6077328215,-0.00042610149544430783,-0.008428689588737987,0.007619545522618156,-0.00042610149544430783,-0.008428689588737987,0.007619545522618156,0.0,0.0,0.0,920541.1183781514,941719.1697229999
2003-01-01,923032.3340737086,816169.896998926,1028700.9727125597,903857.3195498813,942135.0182922235,-0.00373685860396122,-0.0119156296270635,0.004443713703965541,-0.00373685860396122,-0.0119156296270635,0.004443713703965541,0.0,0.0,0.0,919583.0927543909,934225.2519879999
2003-02-01,925131.1386151271,824678.5423943028,1033436.7592333333,904835.6799107419,943913.6675758271,0.0010004607106319306,-0.007228852947646319,0.00897621465765215,0.0010004607106319306,-0.007228852947646319,0.00897621465765215,0.0,0.0,0.0,926056.6959714937,938247.151293
2003-03-01,927026.8330396342,830927.1435755797,1033665.2458395117,907266.3868762662,946095.2697471848,0.004279366697449784,-0.009002778589686433,0.017366781352837406,0.004279366697449784,-0.009002778589686433,0.017366781352837406,0.0,0.0,0.0,930993.9207965864,934836.990057
2003-04-01,929125.6375810527,840696.427035666,1042281.5796932845,909854.9609912068,947683.3662366655,0.007944502245369769,-0.002949853060283501,0.019329116543437618,0.007944502245369769,-0.002949853060283501,0.019329116543437618,0.0,0.0,0.0,936507.078295046,918350.2577729999
2003-05-01,931156.7387501674,844046.1370178859,1047668.9861226979,911066.4269411016,949535.131409728,0.015061134061038569,0.0036363396745099047,0.026030652357052382,0.015061134061038569,0.0036363396745099047,0.026030652357052382,0.0,0.0,0.0,945181.015224323,930183.343726
2003-06-01,933255.543291586,843282.8241122299,1050782.808894093,912326.2901318353,952267.9947019777,0.01051791906777627,-0.0006455001027112047,0.020820150440796416,0.01051791906777627,-0.0006455001027112047,0.020820150440796416,0.0,0.0,0.0,943071.4495654805,921439.768874
2003-07-01,935286.6444607008,835500.210391095,1038217.0233514897,913986.4551210032,954934.8062431717,0.0008044330652440863,-0.011866415094629611,0.012263436132465555,0.0008044330652440863,-0.011866415094629611,0.012263436132465555,0.0,0.0,0.0,936039.0199629862,911386.572067
2003-08-01,939446.7458397931,834646.6225865623,1049927.3483028717,918688.6967930978,958772.7158366172,0.0025155405398951105,-0.007962923278266254,0.013200918362934265,0.0025155405398951105,-0.007962923278266254,0.013200918362934265,0.0,0.0,0.0,941809.9622140257,923622.872125
2003-09-01,943606.8472188853,834663.1252549284,1041642.434819527,923343.901872171,962852.9845589963,-0.01077542370203519,-0.022241473580460257,1.6502774602554754e-06,-0.01077542370203519,-0.022241473580460257,1.6502774602554754e-06,0.0,0.0,0.0,933439.0836319602,928562.765115
2003-10-01,947632.7517792971,837422.4630926098,1029131.3727472792,927109.6483253059,967195.7097552831,-0.015157921693284499,-0.025782959652838163,-0.004329034756339204,-0.015157921693284499,-0.025782959652838163,-0.004329034756339204,0.0,0.0,0.0,933268.6087338349,931800.3673129999
2003-11-01,951792.8531583895,844525.5913357995,1049597.5001220526,931977.943874251,970888.8179188137,-0.005771037116024531,-0.01712464466432925,0.005341226551468729,-0.005771037116024531,-0.01712464466432925,0.005341226551468729,0.0,0.0,0.0,946300.0212760455,942539.258132
2003-12-01,955818.7577188013,857481.7163293563,1061230.4414924677,935410.6832824547,974945.0165307585,0.004544851240118233,-0.006528371290415292,0.015125202335602054,0.004544851240118233,-0.006528371290415292,0.015125202335602054,0.0,0.0,0.0,960162.8117851479,956285.489321
2004-01-01,959978.8590978936,860764.0880817974,1068006.5633858633,938810.7194649577,979399.0160928175,0.0037279698834610723,-0.007891538902292475,0.015458455680310628,0.0037279698834610723,-0.007891538902292475,0.015458455680310628,0.0,0.0,0.0,963557.63137337,949456.8195399999
2004-02-01,964138.9604769858,859572.0390594525,1061587.4316534037,942274.0052815615,983617.5263140122,-0.004243021407112981,-0.013186650121695469,0.004903904252147975,-0.004243021407112981,-0.013186650121695469,0.004903904252147975,0.0,0.0,0.0,960048.0982282503,952286.80177
2004-03-01,970738.9748323868,887154.8770297823,1084506.0147296218,950062.0278881901,990114.3749233038,0.01666176510057459,0.007454521879070702,0.026390269049886905,0.01666176510057459,0.007454521879070702,0.026390269049886905,0.0,0.0,0.0,986913.1996050165,965945.2837200001
2004-04-01,977794.1625916086,891767.7608435964,1095165.7556569222,958064.8576646317,996654.4401753014,0.013682270574139595,0.0015434423774105055,0.02515784004644125,0.013682270574139595,0.0015434423774105055,0.02515784004644125,0.0,0.0,0.0,991172.6068900011,972873.473925
2004-05-01,984621.7636489202,885352.2314640004,1082173.6940081448,965398.9995355116,1003033.9519872157,0.0038400076922072627,-0.0069166130851170925,0.014477173760986013,0.0038400076922072627,-0.0069166130851170925,0.014477173760986013,0.0,0.0,0.0,988402.7187952467,983019.32755
2004-06-01,991676.951408142,896460.4208004731,1097796.353782138,972696.4590740659,1010076.3789101382,0.0024858169560105247,-0.008823196037393378,0.014095978756864544,0.0024858169560105247,-0.008823196037393378,0.014095978756864544,0.0,0.0,0.0,994142.0787888371,986455.9329969999
2004-07-01,998504.5524654534,899237.6622379116,1104075.1964317472,979493.5587374979,1017145.6321949649,-0.0011256681956985791,-0.012020526268466817,0.00952197371059718,-0.0011256681956985791,-0.012020526268466817,0.00952197371059718,0.0,0.0,0.0,997380.5676474827,990915.838908
2004-08-01,1005559.7402246754,899497.1355849532,1102008.4690114332,986026.8467123234,1024396.8252239989,-0.003634094852656,-0.014572844575603759,0.007570741074271034,-0.003634094852656,-0.014572844575603759,0.007570741074271034,0.0,0.0,0.0,1001905.4407486868,1002878.5075030001
2004-09-01,1012614.927983897,915749.4864161724,1117558.836434767,992426.318889155,1032171.7815485201,0.0021786368178451734,-0.009622990598824767,0.01459765442164506,0.0021786368178451734,-0.009622990598824767,0.01459765442164506,0.0,0.0,0.0,1014821.0481483024,1019851.9047530001
2004-10-01,1019442.5290412086,916447.4124394117,1126926.0044775777,998425.0111339712,1040259.0296262346,-0.0018224450613384946,-0.012269694640467855,0.00777423123592351,-0.0018224450613384946,-0.012269694640467855,0.00777423123592351,0.0,0.0,0.0,1017584.651038839,1052916.539432
2004-11-01,1028691.1220425352,920364.1496813676,1128855.1973720924,1008668.1958418685,1049061.7425414256,-0.005327820160487874,-0.01573987021320237,0.005598350415779588,-0.005327820160487874,-0.01573987021320237,0.005598350415779588,0.0,0.0,0.0,1023210.4407436021,1059528.097544
2004-12-01,1037641.3733341418,927889.6390854471,1125143.8640444844,1018430.7493241981,1057484.5953411777,-0.010082220982103589,-0.019654206177364433,-0.0006184415880850255,-0.010082220982103589,-0.019654206177364433,-0.0006184415880850255,0.0,0.0,0.0,1027179.6437080136,1049681.530541
2005-01-01,1046889.9663354683,930452.546257845,1131452.69569654,1027746.8001682349,1066785.5508474708,-0.019161351365882484,-0.031741297438270324,-0.0074212368618913884,-0.019161351365882484,-0.031741297438270324,-0.0074212368618913884,0.0,0.0,0.0,1026830.1398490976,1054663.4621610001
2005-02-01,1056138.559336795,966706.5968753349,1165852.9575876065,1037157.6332741141,1076121.7754798403,0.010861275551087051,-0.004340955514532902,0.026315358081133104,0.010861275551087051,-0.004340955514532902,0.026315358081133104,0.0,0.0,0.0,1067609.5712498801,1063684.456586
2005-03-01,1064492.1272089612,982294.1756773846,1181648.4206344264,1044783.1285171008,1084723.3625687843,0.012487228444957721,0.005438477911187895,0.019656647351943324,0.012487228444957721,0.005438477911187895,0.019656647351943324,0.0,0.0,0.0,1077784.6835792784,1080300.723009
2005-04-01,1073740.7202102877,985982.9902562231,1185379.9980599198,1053613.399906346,1094548.0448060373,0.011621118203093236,0.003066679334991907,0.020240794888175668,0.011621118203093236,0.003066679334991907,0.020240794888175668,0.0,0.0,0.0,1086218.788039326,1103212.176155
2005-05-01,1082690.971501894,987376.1912257955,1194419.0490951512,1061828.901388395,1105362.3243705626,0.007480226451271498,-0.0008632836149719454,0.015205308860370588,0.007480226451271498,-0.0008632836149719454,0.015205308860370588,0.0,0.0,0.0,1090789.7451454753,1080376.912656
2005-06-01,1091939.5645032206,999117.6769643789,1197456.126207347,1069410.7066043639,1115437.9943162347,0.005184130935073084,-0.0032428850657699885,0.013264072651016173,0.005184130935073084,-0.0032428850657699885,0.013264072651016173,0.0,0.0,0.0,1097600.322178792,1118480.0112649999
2005-07-01,1104023.5677600456,998746.4475727371,1203191.5698886563,1081190.1101648947,1127794.1822136291,-0.0004228916273447886,-0.008565886462218076,0.007221104561006578,-0.0004228916273447886,-0.008565886462218076,0.007221104561006578,0.0,0.0,0.0,1103556.6854368486,1127478.808935
2005-08-01,1116510.3711254315,1017143.0945763123,1219996.7123893297,1094194.2355822613,1139820.4862436047,-0.0014616974251105037,-0.009767555242667729,0.006647140491146861,-0.0014616974251105037,-0.009767555242667729,0.006647140491146861,0.0,0.0,0.0,1114878.3707908483,1116564.725234
2005-09-01,1128997.1744908174,1027946.1566992512,1235845.797578753,1106664.3921245183,1151496.6201612945,-0.002036437687193886,-0.010997251153945025,0.0069827459684937065,-0.002036437687193886,-0.010997251153945025,0.0069827459684937065,0.0,0.0,0.0,1126698.042095949,1088183.790803
2005-10-01,1141081.1777476424,1032471.0080618226,1235417.3527817312,1118719.5631801316,1164716.3579599499,-0.0063622643583327735,-0.01392347107153762,0.0012294372666161674,-0.0063622643583327735,-0.01392347107153762,0.0012294372666161674,0.0,0.0,0.0,1133821.317640494,1103611.004422
2005-11-01,1153567.9811130282,1042766.9448479258,1243669.1342957425,1129484.6483111223,1177819.111595883,-0.005661418012470634,-0.01389145544971259,0.002064733944218222,-0.005661418012470634,-0.01389145544971259,0.002064733944218222,0.0,0.0,0.0,1147037.1505661455,1117138.413643
2005-12-01,1165651.984369853,1065180.3815922218,1265441.9603724873,1139264.8237597626,1190513.1235801855,-0.005304548375473705,-0.012889509674092275,0.001950634375777601,-0.005304548375473705,-0.012889509674092275,0.001950634375777601,0.0,0.0,0.0,1159468.7270297962,1132269.494352
2006-01-01,1178138.787735239,1066832.7875663098,1267315.1881302444,1151118.4562778356,1203175.1317336145,-0.011369695139066636,-0.02047018958071097,-0.0030099897355231942,-0.011369695139066636,-0.02047018958071097,-0.0030099897355231942,0.0,0.0,0.0,1164743.7088871798,1139979.304855
2006-02-01,1195281.4765958616,1092382.463654854,1300374.3190123097,1169590.8007853902,1219622.47253092,0.006036726341441683,-0.004914187253255538,0.01678907470817973,0.006036726341441683,-0.004914187253255538,0.01678907470817973,0.0,0.0,0.0,1202497.063771065,1155864.390619
2006-03-01,1210765.1955667464,1114566.6330497619,1322506.8227385655,1186256.340910278,1234177.1315939566,0.008357367061932108,-0.0014218428639747912,0.017494554550801976,0.008357367061932108,-0.0014218428639747912,0.017494554550801976,0.0,0.0,0.0,1220884.0047319098,1189902.278009
2006-04-01,1227907.8844273689,1138483.7024920455,1343217.9835961303,1203322.5258909352,1250285.255430671,0.00970756661746371,0.0017261955510069166,0.01914534156744104,0.00970756661746371,0.0017261955510069166,0.01914534156744104,0.0,0.0,0.0,1239827.8820155566,1216592.843908
2006-05-01,1244497.5833247453,1155702.7630838712,1365257.8604621908,1221500.9605185399,1266431.1039708785,0.011222236607401065,0.002959382803705032,0.019165360805976292,0.011222236607401065,0.002959382803705032,0.019165360805976292,0.0,0.0,0.0,1258463.6296621545,1228219.0074719999
2006-06-01,1261640.2721853678,1166244.7544769987,1367869.1495170505,1238143.344499012,1283380.9790332227,0.007863097868755095,-0.0004968475691765478,0.015790640935759142,0.007863097868755095,-0.0004968475691765478,0.015790640935759142,0.0,0.0,0.0,1271560.673120724,1233629.529935
2006-07-01,1278229.9710827442,1179450.530778079,1380032.0195592132,1255343.190502111,1299856.706832644,0.00022120325793296798,-0.00859148503752793,0.008943265353777315,0.00022120325793296798,-0.00859148503752793,0.008943265353777315,0.0,0.0,0.0,1278512.7197167352,1244757.217038
2006-08-01,1295372.6599433667,1196441.5010083935,1401366.5964316614,1272153.9312903564,1316941.0193810898,0.0005885599482373183,-0.007403874232233922,0.008168765605470061,0.0005885599482373183,-0.007403874232233922,0.008168765605470061,0.0,0.0,0.0,1296135.064409051,1245357.394152
2006-09-01,1312515.3488039894,1201359.1073871143,1407252.35780879,1289212.7597644485,1334211.0125519484,-0.006356513694225847,-0.01476061810626111,0.00222352508969654,-0.006356513694225847,-0.01476061810626111,0.00222352508969654,0.0,0.0,0.0,1304172.327015435,1268722.15848
2006-10-01,1331027.9228713715,1219321.1233101971,1418445.1476082602,1308588.002510966,1352049.0233371418,-0.010809640192448216,-0.018872838656611036,-0.0023309584306232816,-0.010809640192448216,-0.018872838656611036,-0.0023309584306232816,0.0,0.0,0.0,1316639.9899390303,1287620.408329
2006-11-01,1350157.5827409995,1233638.3675797922,1447031.5308449308,1327813.106409894,1370017.277203769,-0.005809191941657558,-0.014042457410982867,0.0024869544883995014,-0.005809191941657558,-0.014042457410982867,0.0024869544883995014,0.0,0.0,0.0,1342314.2581913727,1319413.624183
2006-12-01,1368670.1568083814,1268611.342586992,1463261.9732404787,1346846.3056687708,1387644.0924672545,-0.0004261014954014497,-0.008428689588725481,0.007619545522699873,-0.0004261014954014497,-0.008428689588725481,0.007619545522699873,0.0,0.0,0.0,1368086.964407854,1355867.8805290002
2007-01-01,1387799.8166780097,1291033.4780286849,1488693.2507590197,1366403.3931292233,1407369.1199591544,-0.0037368586039041125,-0.01191562962705532,0.004443713703988349,-0.0037368586039041125,-0.01191562962705532,0.004443713703988349,0.0,0.0,0.0,1382613.8049925598,1358380.249434
